Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs
863.7024,863.7188,863.7248,863.7196,3.805434226989746,0.0224,"[863.7051666666666, 863.7062333333333, 863.7083, 863.7089, 863.7089666666667, 863.7113666666667, 863.7114, 863.7122333333333, 863.7134666666667, 863.7146, 863.7147, 863.7188, 863.7203333333333, 863.7211]","[77, 178, 166, 207, 77, 183, 257, 56, 166, 42, 77, 56, 257, 190]"
864.8064,864.8168,864.8316,864.8188,9.069406509399414,0.0252,"[864.8067333333333, 864.8068333333333, 864.8125666666666, 864.8136333333333, 864.8140666666667, 864.815, 864.8162333333333, 864.8186666666667, 864.8186666666667, 864.8194666666667, 864.8198, 864.82, 864.8201333333334, 864.8208333333333, 864.8214333333333, 864.8260666666666, 864.8266333333333, 864.8276333333333, 864.8278, 864.8292, 864.8305666666666]","[77, 228, 56, 15, 29, 223, 77, 77, 207, 56, 257, 166, 15, 207, 56, 183, 56, 166, 251, 29, 183]"
873.6068,873.634,873.666,873.6304,4.506017208099365,0.0592,"[873.6079, 873.6082, 873.6109333333334, 873.6130333333333, 873.6140333333333, 873.6140666666666, 873.6152666666667, 873.6156333333333, 873.6165333333333, 873.6165666666667, 873.617, 873.6174333333333, 873.619, 873.6192666666667, 873.6203666666667, 873.6206666666667, 873.6208333333333, 873.6225333333333, 873.6229, 873.6229666666667, 873.6237666666667, 873.6238666666667, 873.6244, 873.6252333333333, 873.6278666666667, 873.6303333333333, 873.6309666666667, 873.6311333333333, 873.6313, 873.6316, 873.6316666666667, 873.6316666666667, 873.6318666666666, 873.6319666666667, 873.6320666666667, 873.6327666666666, 873.6329666666667, 873.6372, 873.6383333333333, 873.6392, 873.6396, 873.6403, 873.6408666666666, 873.6454666666667, 873.6467333333334, 873.6505333333333, 873.6509, 873.6516333333333, 873.6585, 873.6588333333333, 873.6595, 873.6598333333334, 873.6601333333333, 873.6609333333333, 873.6619666666667, 873.6639666666666, 873.6642666666667, 873.6647666666667, 873.6648333333334, 873.6656666666667]","[56, 183, 77, 183, 178, 56, 15, 77, 166, 207, 183, 257, 15, 77, 178, 164, 183, 56, 119, 207, 166, 77, 183, 15, 56, 166, 15, 77, 190, 207, 164, 223, 168, 178, 164, 29, 15, 56, 77, 164, 15, 190, 56, 164, 56, 56, 183, 15, 166, 56, 89, 15, 183, 178, 56, 183, 166, 56, 15, 190]"
883.9012,883.9172,883.942,883.9164,6.129672527313232,0.0408,"[883.9036, 883.9040666666667, 883.9051333333333, 883.9056333333333, 883.9057666666666, 883.9061, 883.9065333333333, 883.9087333333333, 883.9098, 883.9099333333334, 883.9113666666667, 883.9122666666667, 883.9126, 883.9126666666667, 883.9127, 883.9146666666667, 883.9172, 883.9174, 883.9185, 883.9185333333334, 883.9186, 883.9198666666666, 883.9200666666667, 883.9200666666667, 883.9224, 883.9228666666667, 883.9230333333334, 883.9255666666667, 883.9258666666667, 883.927, 883.9273666666667, 883.9274666666666, 883.9297666666666, 883.9311333333334, 883.9323, 883.9324, 883.9332333333333, 883.9356666666666, 883.9356666666666, 883.9361, 883.9365, 883.9371333333333, 883.9382666666667, 883.9384333333334]","[30, 230, 77, 223, 168, 183, 56, 230, 77, 183, 183, 56, 77, 29, 190, 230, 183, 56, 166, 15, 142, 77, 178, 257, 251, 166, 77, 29, 230, 257, 257, 183, 77, 183, 230, 146, 257, 251, 207, 178, 17, 189, 183, 164]"
888.6924,888.742,888.75,888.7452,3.756425380706787,0.0576,"[888.697, 888.6970333333334, 888.6971666666667, 888.6974666666666, 888.6982333333333, 888.7021666666667, 888.7029, 888.7042666666666, 888.7051, 888.7052333333334, 888.7081666666667, 888.7091666666666, 888.7118333333333, 888.712, 888.7125666666667, 888.7148666666667, 888.7152333333333, 888.7154, 888.7159, 888.7164333333334, 888.7167666666667, 888.7211, 888.7230333333333, 888.7239666666667, 888.7253666666667, 888.726, 888.7265, 888.7269666666666, 888.7273, 888.7275, 888.7280666666667, 888.7283333333334, 888.7293333333333, 888.7303333333333, 888.7327333333334, 888.7346, 888.7356666666667, 888.7364666666666, 888.7392333333333, 888.7409666666666, 888.7410333333333, 888.7419333333333, 888.7457666666667, 888.7463666666666, 888.7471]","[134, 77, 228, 257, 17, 134, 166, 77, 29, 183, 166, 56, 183, 77, 178, 183, 134, 56, 29, 164, 77, 166, 77, 257, 228, 164, 56, 166, 223, 77, 168, 178, 207, 178, 77, 183, 15, 223, 179, 166, 56, 207, 77, 166, 15]"
890.5672,890.5756,890.5964,890.5744,5.82086181640625,0.0292,"[890.5693333333334, 890.5695333333333, 890.5699, 890.5733666666666, 890.5737, 890.5744, 890.5751, 890.5755, 890.5755333333333, 890.5782666666667, 890.5784666666667, 890.5785666666667, 890.579, 890.5804666666667, 890.5816666666667, 890.5819333333334, 890.5826666666667, 890.5831, 890.5845333333333, 890.5848666666667, 890.5853666666667, 890.5866333333333, 890.5897333333334, 890.5901666666666, 890.5911, 890.5913666666667, 890.5914, 890.5914333333334, 890.5923666666666, 890.5942, 890.5954333333333]","[166, 183, 77, 168, 183, 166, 77, 56, 29, 184, 168, 77, 166, 56, 184, 207, 77, 257, 166, 183, 184, 77, 42, 56, 178, 251, 257, 228, 223, 178, 56]"
890.6232,890.6396,890.6488,890.626,3.4011433124542236,0.0256,"[890.6255333333334, 890.6266333333333, 890.6271333333333, 890.6285666666666, 890.6289, 890.6292, 890.6325333333333, 890.6331, 890.6379666666667, 890.6389, 890.6395666666666, 890.6433, 890.6443666666667, 890.6454666666667, 890.6455333333333, 890.646, 890.6486333333334]","[42, 207, 257, 207, 77, 56, 178, 183, 77, 15, 56, 77, 166, 56, 15, 29, 77]"
1230.4344,1230.4848,1230.4932,1230.4836,5.206265449523926,0.0588,"[1230.436, 1230.4388333333334, 1230.4394333333332, 1230.440466666667, 1230.4414666666669, 1230.4446, 1230.4448, 1230.4457666666667, 1230.4491666666668, 1230.4505, 1230.4511333333332, 1230.4517, 1230.4536, 1230.4542333333334, 1230.4556333333333, 1230.4566333333332, 1230.4577, 1230.4620333333332, 1230.466766666667, 1230.468, 1230.4692, 1230.4704333333334, 1230.472166666667, 1230.4727666666668, 1230.4732333333334, 1230.4738666666667, 1230.4741333333334, 1230.4760333333334, 1230.4771666666666, 1230.4777666666666, 1230.4782333333333, 1230.4825, 1230.4834, 1230.4837, 1230.484866666667, 1230.485233333333, 1230.4860666666666, 1230.49, 1230.4914333333334, 1230.4915]","[56, 15, 168, 56, 207, 257, 178, 164, 56, 166, 15, 56, 164, 56, 15, 183, 166, 183, 183, 15, 56, 77, 166, 15, 190, 223, 164, 56, 183, 257, 15, 207, 257, 77, 189, 190, 56, 183, 56, 77]"
1231.1564,1231.172,1231.1932,1231.1704,7.326132297515869,0.0368,"[1231.1567, 1231.1577, 1231.1595333333332, 1231.1608333333334, 1231.1619666666666, 1231.1621666666667, 1231.162733333333, 1231.1643, 1231.1648, 1231.1662666666666, 1231.1663666666666, 1231.1670333333334, 1231.1683666666668, 1231.1695333333332, 1231.1702333333333, 1231.1719666666668, 1231.172733333333, 1231.1735, 1231.1736666666666, 1231.1792666666668, 1231.1792666666668, 1231.183633333333, 1231.1845, 1231.1867, 1231.1902666666667]","[183, 77, 223, 257, 207, 183, 77, 178, 183, 189, 15, 42, 257, 77, 183, 131, 77, 183, 42, 77, 80, 42, 77, 166, 77]"
1231.4652,1231.4824,1231.5288,1231.4832,3.214419364929199,0.0636,"[1231.4654, 1231.4655333333333, 1231.4658333333334, 1231.4676, 1231.4683666666667, 1231.4690333333333, 1231.469466666667, 1231.4712, 1231.471633333333, 1231.4741666666666, 1231.4781333333333, 1231.4786333333334, 1231.4788666666666, 1231.4790666666668, 1231.4820666666667, 1231.483433333333, 1231.4836333333333, 1231.4838, 1231.4839, 1231.483966666667, 1231.484, 1231.4842666666666, 1231.4854, 1231.4861666666666, 1231.4866, 1231.4875333333334, 1231.4877666666666, 1231.4882, 1231.4910333333332, 1231.491266666667, 1231.4916333333333, 1231.4921, 1231.4921, 1231.4922666666666, 1231.4937666666667, 1231.494866666667, 1231.4974666666667, 1231.4983333333332, 1231.4996666666666, 1231.5032666666666, 1231.5053666666668, 1231.5054333333333, 1231.5075333333334, 1231.5077666666666, 1231.5095333333334, 1231.509733333333, 1231.5101333333334, 1231.5113, 1231.5125, 1231.515133333333, 1231.5193333333334, 1231.5193666666669, 1231.522, 1231.5262333333333, 1231.526566666667, 1231.5281333333332]","[56, 207, 166, 257, 223, 77, 243, 183, 207, 77, 189, 207, 56, 15, 166, 168, 207, 166, 183, 77, 80, 56, 207, 178, 183, 89, 207, 168, 56, 243, 166, 77, 80, 257, 178, 56, 166, 77, 183, 77, 56, 178, 30, 77, 183, 17, 257, 77, 15, 189, 80, 77, 56, 183, 251, 166]"
