Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
1804.1884,1804.1952,1804.2216,1804.1956,3.9588611125946045,0.0332
1852.3328,1852.3516,1852.3576,1852.3484,3.3298823833465576,0.0248
1853.712,1853.7248,1853.7324,1853.7252,4.396176815032959,0.0204
1859.4336,1859.448,1859.4676,1859.4508,4.049110412597656,0.034
1891.6824,1891.692,1891.7032,1891.6896,4.726859092712402,0.0208
1894.722,1894.7384,1894.7452,1894.7388,4.672972679138184,0.0232
1901.2076,1901.2348,1901.2524,1901.2348,7.677245140075684,0.0448
1901.5528,1901.5788,1901.5868,1901.58,4.312369346618652,0.034
1914.1548,1914.184,1914.1936,1914.1592,6.289097309112549,0.0388
1920.2712,1920.2788,1920.318,1920.28,4.313867568969727,0.0468
1920.502,1920.5116,1920.5384,1920.5116,6.033155918121338,0.0364
1921.4144,1921.4204,1921.446,1921.4184,4.145388603210449,0.0316
1921.6916,1921.738,1921.7456,1921.7396,6.604504108428955,0.054
1922.086,1922.1164,1922.1628,1922.148,4.884730815887451,0.0768
1922.8692,1922.8932,1922.9644,1922.892,6.502987384796143,0.0952
1928.2584,1928.2836,1928.2896,1928.2832,3.65218448638916,0.0312
1929.5852,1929.6012,1929.6072,1929.6008,4.477707862854004,0.022
1931.922,1931.9432,1931.95,1931.94,3.0785481929779053,0.028
1937.1968,1937.2224,1937.2276,1937.22,3.5500385761260986,0.0308
2730.5816,2730.608,2730.614,2730.6096,3.881622314453125,0.0324
2731.3292,2731.3596,2731.372,2731.3608,5.5941386222839355,0.0428
2768.7408,2768.7688,2768.7784,2768.7664,5.009148597717285,0.0376
2773.8688,2773.876,2773.8988,2773.8768,3.7749502658843994,0.03
2774.596,2774.6064,2774.658,2774.6056,7.091290473937988,0.062
2775.0956,2775.1124,2775.144,2775.122,4.685615539550781,0.0484
2780.1544,2780.164,2780.1976,2780.1652,7.278128147125244,0.0432
2780.3236,2780.3376,2780.3556,2780.3368,9.219340324401855,0.032
2783.3036,2783.312,2783.3404,2783.3096,6.376470565795898,0.0368
2784.504,2784.51,2784.5408,2784.508,3.8883745670318604,0.0368
2784.804,2784.8264,2784.8388,2784.8252,4.1608405113220215,0.0348
2785.2216,2785.2328,2785.2544,2785.2352,5.038058757781982,0.0328
2785.5684,2785.5784,2785.598,2785.5792,8.359196662902832,0.0296
2785.6872,2785.6956,2785.7164,2785.6968,5.431759834289551,0.0292
2806.2452,2806.2776,2806.3068,2806.278,4.694363594055176,0.0616
2811.5988,2811.6052,2811.6264,2811.6068,3.9797699451446533,0.0276
2821.9804,2821.9872,2822.0012,2821.9852,4.3920817375183105,0.0208
2822.0732,2822.0864,2822.096,2822.0868,6.685657501220703,0.0228
2822.5788,2822.5872,2822.618,2822.6144,4.562882423400879,0.0392
2823.0732,2823.0824,2823.0984,2823.0784,3.7828128337860107,0.0252
