Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1505.8,1509.167,3.367,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,90348,90550,,,,,90349,90551,3764442,3772859
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1510.25,1511.45,1.2,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,90615,90687,,,,,90616,90688,3775567,3778567
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1520.25,1549.433,29.183,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,91215,92966,,,,,91216,92967,3800566,3873523
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1559.65,1565.783,6.133,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,93579,93947,,,,,93580,93948,3899064,3914397
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1573.383,1801.867,228.484,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,94403,108112,,,,,94404,108113,3933396,4504589
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,1804,1805.033,1.033,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,108240,108302,,,,,108241,108303,4509922,4512505
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1805.733,1810.9,5.167,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,108344,108654,,,,,108345,108655,4514255,4527172
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,1813.233,1814.767,1.534,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,108794,108886,,,,,108795,108887,4533005,4536838
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1814.917,1817.067,2.15,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,108895,109024,,,,,108896,109025,4537213,4542588
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1821,1838.633,17.633,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,109260,110318,,,,,109261,110319,4552421,4596503
