Cluster ID,Firing Rate (Hz),True Count,Mean Permuted,Normalized True,Normalized Mean,Z-Score,p-value (two-tailed)
189.0,1.3791456726523086,74,15.939,53.65640589488031,11.55715477781753,7.666018847190768,0.000999000999000999
210.0,19.87548754720393,42,95.377,2.1131557100297913,4.7987250513217,-4.322578682568918,0.008991008991008992
232.0,1.8852671104056218,114,20.84,60.46888495045803,11.054136511996012,10.521831981102258,0.001998001998001998
222.0,0.5011871061874732,31,2.425,61.853147491795596,4.838512344116268,12.081643844524548,0.001998001998001998
243.0,0.4483192679820436,57,5.923,127.14153522012577,13.211566896645701,10.758031179913928,0.001998001998001998
37.0,1.4020550692079947,105,11.92,74.89006837606837,8.501805857549858,11.079052572127793,0.002997002997002997
140.0,0.8448280545227661,37,8.291,43.79589408983451,9.813831294562647,7.484570126053756,0.002997002997002997
247.0,0.21675813664226162,34,4.929,156.856856802168,22.739630799349595,7.982433859692177,0.002997002997002997
3.0,0.9012204152752243,12,11.407,13.315277590926867,12.657280956641898,0.1430742887732936,0.8931068931068931
110.0,1.8436777443506838,80,12.331,43.39153100108329,6.688262109679474,8.083978896747924,0.001998001998001998
117.0,1.5331673079574604,48,20.15,31.307737747126435,13.142727408429117,3.7605493293455363,0.001998001998001998
139.0,1.5007417005247967,17,14.633,11.327732143416315,9.750512026741818,0.4747198264719781,0.7012987012987013
192.0,0.21781549340637021,11,2.241,50.501458036677455,10.288524314563107,3.2373654566764207,0.023976023976023976
194.0,0.17728348411554082,9,1.768,50.76615029821073,9.972728191915175,4.118633503001141,0.008991008991008992
23.0,0.8095828290524796,24,7.574,29.644897518502393,9.355435575214047,3.7440487015544384,0.007992007992007992
99.0,0.262576929753634,34,6.324,129.485861655481,24.08437026791946,5.213984580903065,0.001998001998001998
109.0,1.6515912655376228,24,10.62,14.531440375586854,6.430162366197182,3.3992799908031315,0.005994005994005994
144.0,1.0041364736484608,8,11.548,7.96704453024453,11.50042877940798,-0.7804615204006643,0.48451548451548454
204.0,1.076389185862548,79,11.225,73.39352813796114,10.428384219602705,9.239260745756093,0.001998001998001998
223.0,0.27597011543234284,34,6.55,123.20174576415496,23.734453963388674,4.91144677960407,0.001998001998001998
229.0,0.6347665107198589,29,10.443,45.68609009809364,16.45171858256524,4.496795459597466,0.001998001998001998
205.0,0.2696259748476913,16,5.08,59.3414637037037,18.840914725925924,3.830345176129725,0.01098901098901099
149.0,2.699079366514536,21,27.135,7.78043071297989,10.053427971271873,-0.7913073124807127,0.4485514485514486
154.0,2.4946570587868746,32,17.457,12.827414448525948,6.997755438372422,2.114722900208434,0.03796203796203796
188.0,1.25014814743106,42,12.315,33.59601826895968,9.850832499577107,5.182388735612964,0.002997002997002997
239.0,0.1635378461821291,14,4.635,85.60709540229884,28.34206337068965,2.736305146502357,0.014985014985014986
111.0,0.08282627985517314,10,1.903,120.73462695035461,22.975799508652482,4.423239450140817,0.01098901098901099
171.0,3.787804381291684,12,15.869,3.1680622313203686,4.189498295735244,-0.8973818963361571,0.4005994005994006
225.0,0.10890774670318511,10,2.754,91.82083279395901,25.28745735145631,2.8273519126065563,0.026973026973026972
17.0,0.1593084191256947,20,3.628,125.54264306784661,22.773435452507375,7.187334849118174,0.001998001998001998
88.0,0.38487786213552794,7,4.881,18.187588034188035,12.681945313553115,0.8434833757551113,0.45754245754245754
43.0,0.03982710478142368,4,0.288,100.43411445427729,7.231256240707965,7.100092700204196,0.001998001998001998
53.0,0.018327517244548952,3,0.192,163.68829230769228,10.476050707692307,6.6311276124301,0.002997002997002997
