Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_s,Peak_Freq,awake_state,sleep_state
431.5916,431.6076,431.6124,431.6072,3.9523284435272217,0.0208,192.3076923076923,False,sleep
432.4208,432.4424,432.4484,432.4444,3.912731170654297,0.0276,181.15942028985503,False,sleep
432.542,432.554,432.5712,432.5508,8.55825138092041,0.0292,205.47945205479454,False,sleep
433.0004,433.0236,433.0328,433.0216,6.013520240783691,0.0324,154.320987654321,False,sleep
434.1216,434.13,434.1556,434.1284,5.289768218994141,0.034,176.47058823529412,False,sleep
439.1672,439.174,439.2012,439.1716,4.826359748840332,0.034,147.05882352941177,False,sleep
441.182,441.192,441.224,441.1944,8.336193084716797,0.042,142.85714285714283,False,sleep
442.5796,442.5984,442.6032,442.6016,3.492699146270752,0.0236,127.11864406779662,False,sleep
442.6376,442.7008,442.7196,442.7004,6.2371602058410645,0.082,158.53658536585365,False,sleep
443.8388,443.8496,443.8708,443.8492,6.917294025421143,0.032,125.0,False,sleep
444.1208,444.156,444.1668,444.158,10.565529823303223,0.046,152.17391304347825,False,sleep
447.28,447.3132,447.3336,447.3128,3.4957339763641357,0.0536,205.22388059701493,True,awake
447.3916,447.4364,447.474,447.436,13.403031349182129,0.0824,121.35922330097087,True,awake
448.6592,448.69,448.7044,448.6896,3.482290267944336,0.0452,199.1150442477876,True,awake
448.8044,448.8184,448.8288,448.8172,9.960502624511719,0.0244,163.93442622950818,True,awake
449.7396,449.7624,449.7712,449.7648,6.6852593421936035,0.0316,126.58227848101265,True,awake
450.8392,450.8508,450.8976,450.8496,9.796294212341309,0.0584,136.986301369863,False,sleep
452.2256,452.2328,452.2492,452.2328,5.089593887329102,0.0236,127.11864406779662,True,awake
453.2152,453.2332,453.24,453.234,4.8060078620910645,0.0248,120.96774193548387,True,awake
454.1928,454.2216,454.3136,454.2644,6.304039478302002,0.1208,149.00662251655626,False,sleep
457.7552,457.7936,457.8,457.7936,5.5553717613220215,0.0448,200.89285714285717,False,sleep
457.9588,457.9692,457.9952,457.9692,3.1201999187469482,0.0364,164.83516483516482,False,sleep
458.6536,458.6652,458.7044,458.6684,6.680554389953613,0.0508,137.79527559055117,False,sleep
