cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
145	288.30000000	25.10000000	mua	23.41729164	334	2145.00000000	1.82154093	noise	6607	0
146	1779.50000000	975.00000000	mua	73.19853973	348	1890.00000000	0.00551397	noise	20	0
147	1411.50000000	inf	mua	80.56419373	350	1905.00000000	0.00468688	noise	17	0
148	2723.30000000	0.00000000	mua	129.69438171	221	1650.00000000	0.00330838	noise	12	0
149	2025.00000000	inf	mua	70.65175629	348	1890.00000000	0.00358408	noise	13	0
150	686.10000000	27.70000000	mua	56.04707336	342	1845.00000000	3.19203888	mua	11578	0
151	731.60000000	45.80000000	mua	56.71862411	341	1830.00000000	5.08029888	mua	18427	0
152	965.80000000	11.00000000	mua	75.18985748	343	1845.00000000	9.28222189	good	33668	0
153	950.40000000	11.50000000	mua	74.02005005	341	1830.00000000	9.38809017	good	34052	0
154	1363.40000000	0.00000000	good	63.74124908	340	1830.00000000	0.26246511	good	952	0
155	1383.80000000	inf	mua	67.01576233	348	1890.00000000	0.00634107	noise	23	0
156	1951.80000000	100.00000000	mua	137.01295471	350	1905.00000000	0.00220559	noise	8	0
157	1856.40000000	inf	mua	66.71696472	348	1890.00000000	0.00496258	noise	18	0
158	1517.40000000	0.00000000	mua	79.04790497	348	1890.00000000	0.00385978	noise	14	0
159	1984.70000000	inf	mua	68.10778046	348	1890.00000000	0.01213074	noise	44	0
160	1824.30000000	0.00000000	good	94.76982117	339	1815.00000000	0.00496258	noise	18	0
161	1001.00000000	0.00000000	mua	53.70719147	283	1755.00000000	0.00385978	noise	14	0
162	321.20000000	74.30000000	mua	25.92858887	350	1905.00000000	1.52985177	noise	5549	0
163	703.70000000	0.00000000	mua	45.39235687	348	1890.00000000	0.02095310	noise	76	0
164	1593.10000000	0.00000000	mua	88.74431610	348	1890.00000000	0.00192989	noise	7	0
165	2795.30000000	inf	mua	88.32775879	348	1890.00000000	0.00358408	noise	13	0
166	1074.20000000	12.00000000	mua	74.72238159	358	1245.00000000	12.77311810	mua	46330	0
167	645.20000000	31.50000000	mua	45.71932983	358	1245.00000000	4.34225362	mua	15750	0
168	759.00000000	10.30000000	mua	59.75104523	359	1245.00000000	8.00325589	mua	29029	0
169	1147.00000000	100.00000000	mua	107.87931061	193	1440.00000000	0.01406063	noise	51	0
170	769.10000000	4.90000000	good	53.76802063	360	1260.00000000	12.18505290	good	44197	0
171	1082.20000000	0.00000000	mua	87.64703369	363	1275.00000000	0.31815623	mua	1154	0
172	787.60000000	9.30000000	good	58.32148361	363	1275.00000000	16.22679500	good	58857	0
173	547.40000000	8.90000000	good	44.27353668	364	1290.00000000	14.49651032	good	52581	0
174	1124.90000000	44.50000000	mua	68.26451111	367	1305.00000000	29.18407979	mua	105855	0
175	961.40000000	100.00000000	good	69.92365265	367	1305.00000000	0.01792041	mua	65	0
179	2277.50000000	71.20000000	mua	76.45262146	33	2400.00000000	3.67533860	mua	13331	0
183	2943.60000000	152.00000000	mua	83.08268738	55	2205.00000000	1.36360549	noise	4946	0
184	6534.80000000	204.60000000	mua	111.94161987	56	2220.00000000	0.29747884	noise	1079	0
185	213.30000000	15.30000000	mua	18.82911873	334	2145.00000000	0.64678902	noise	2346	0
188	796.70000000	81.80000000	mua	58.82827377	187	2115.00000000	2.83225215	mua	10273	0
189	1276.10000000	0.00000000	good	53.25606918	193	1440.00000000	0.85273590	good	3093	0
190	559.30000000	9.50000000	good	45.92182541	205	1530.00000000	1.70740169	good	6193	0
191	1409.20000000	0.40000000	good	65.40594482	197	1470.00000000	2.55186663	good	9256	0
193	2098.30000000	0.00000000	good	92.81375122	209	1560.00000000	0.54312633	good	1970	0
194	552.70000000	55.70000000	mua	40.70371246	212	1590.00000000	2.86037342	mua	10375	0
195	1545.80000000	8.90000000	good	80.17266846	245	2190.00000000	1.08542556	good	3937	0
196	404.20000000	7.90000000	good	48.83953094	253	2250.00000000	30.14295967	good	109333	0
197	1679.10000000	41.70000000	mua	94.37557983	253	2250.00000000	1.29137244	good	4684	0
198	1528.50000000	21.40000000	mua	62.13454056	255	1545.00000000	0.23544664	good	854	0
199	1252.80000000	0.00000000	good	65.73576355	255	1545.00000000	0.20567119	good	746	0
200	834.10000000	4.20000000	good	60.13002014	255	1545.00000000	0.87699738	good	3181	0
